2018-12-14 07:45:07.785196 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:45:08.789279 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:45:09.793443 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:45:10.797438 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:45:12.303620 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:45:13.307703 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:45:14.325155 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:45:15.315885 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:45:16.332503 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:45:17.324085 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:45:18.328198 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:45:19.834239 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:45:20.838981 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:45:21.842499 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:45:22.846689 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:45:23.850693 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:45:24.854876 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:45:25.858972 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:45:27.365156 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:45:28.369161 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:45:29.385691 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:45:30.377362 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:45:31.382005 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:45:32.410140 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:45:33.389681 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:45:34.895807 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:45:35.899899 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:45:36.905342 HST-1000 | $RXPNS,B,0,G,8858*7F
2018-12-14 07:45:37.908066 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:45:38.912164 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:45:39.916273 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:45:40.920361 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:45:42.428089 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:45:43.431413 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:45:44.434705 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:45:45.451041 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:45:46.442928 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:45:47.448085 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:45:48.455769 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:45:49.957256 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:45:50.961380 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:45:51.966628 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:45:52.970353 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:45:53.973440 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:45:54.977735 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:45:55.981806 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:45:57.489712 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:45:58.492021 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:45:59.495504 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:46:00.500228 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:46:01.516435 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:46:02.508398 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:46:03.512465 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:46:05.018656 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:46:06.022749 HST-1000 | $RXPNS,B,0,G,8893*78
